bbcid,system,summary,is_factual,worker_id
31566848,BERTS2S,"a woman was assaulted and assaulted in a mcdonald's restaurant in kent, police have said.",yes,wid_0
31566848,BERTS2S,"a woman was assaulted and assaulted in a mcdonald's restaurant in kent, police have said.",yes,wid_1
31566848,BERTS2S,"a woman was assaulted and assaulted in a mcdonald's restaurant in kent, police have said.",yes,wid_2
33751212,BERTS2S,"police in southern china have seized more than 1, 000 alcohol bottles and seized more than 1, 200 bottles of contaminated milk, local media report.",no,wid_0
33751212,BERTS2S,"police in southern china have seized more than 1, 000 alcohol bottles and seized more than 1, 200 bottles of contaminated milk, local media report.",no,wid_1
33751212,BERTS2S,"police in southern china have seized more than 1, 000 alcohol bottles and seized more than 1, 200 bottles of contaminated milk, local media report.",no,wid_2
40062271,BERTS2S,a former labour councillor has denied possessing indecent images of a child.,yes,wid_0
40062271,BERTS2S,a former labour councillor has denied possessing indecent images of a child.,yes,wid_1
40062271,BERTS2S,a former labour councillor has denied possessing indecent images of a child.,yes,wid_2
26381454,BERTS2S,russia's lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,no,wid_0
26381454,BERTS2S,russia's lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,no,wid_1
26381454,BERTS2S,russia's lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,no,wid_2
40223602,BERTS2S,bolton defender dorian dervite has signed a new two-year contract with the championship club.,no,wid_0
40223602,BERTS2S,bolton defender dorian dervite has signed a new two-year contract with the championship club.,no,wid_1
40223602,BERTS2S,bolton defender dorian dervite has signed a new two-year contract with the championship club.,no,wid_2
17592709,BERTS2S,three years after the death of former british tour de france winner robert millar.,no,wid_0
17592709,BERTS2S,three years after the death of former british tour de france winner robert millar.,no,wid_1
17592709,BERTS2S,three years after the death of former british tour de france winner robert millar.,no,wid_2
32278778,BERTS2S,the confederation of african football ( caf ) and morocco have returned to the competition after a row in the confederation of african football broke down.,yes,wid_0
32278778,BERTS2S,the confederation of african football ( caf ) and morocco have returned to the competition after a row in the confederation of african football broke down.,no,wid_1
32278778,BERTS2S,the confederation of african football ( caf ) and morocco have returned to the competition after a row in the confederation of african football broke down.,no,wid_2
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,no,wid_0
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,no,wid_1
34687720,BERTS2S,rory mcilroy will take a one-shot lead into the final round of the wgc-hsbc champions after carding a three-under,no,wid_2
32504766,BERTS2S,forty-eight people are feared dead after a passenger ferry caught fire off the coast of spain.,no,wid_0
32504766,BERTS2S,forty-eight people are feared dead after a passenger ferry caught fire off the coast of spain.,no,wid_1
32504766,BERTS2S,forty-eight people are feared dead after a passenger ferry caught fire off the coast of spain.,no,wid_2
34793274,BERTS2S,the world's first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,no,wid_0
34793274,BERTS2S,the world's first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,no,wid_1
34793274,BERTS2S,the world's first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,no,wid_2
36423607,BERTS2S,west sussex's fire and crime commissioner has asked the government to consider merging it into two separate services.,no,wid_0
36423607,BERTS2S,west sussex's fire and crime commissioner has asked the government to consider merging it into two separate services.,no,wid_1
36423607,BERTS2S,west sussex's fire and crime commissioner has asked the government to consider merging it into two separate services.,no,wid_2
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,no,wid_0
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,no,wid_1
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,no,wid_2
32219005,BERTS2S,"children at the centre of a controversy over the treatment of baby ashya king's parents may have been denied treatment, say doctors.",no,wid_0
32219005,BERTS2S,"children at the centre of a controversy over the treatment of baby ashya king's parents may have been denied treatment, say doctors.",no,wid_1
32219005,BERTS2S,"children at the centre of a controversy over the treatment of baby ashya king's parents may have been denied treatment, say doctors.",no,wid_2
39979364,BERTS2S,the london 2012 para-athletics world championships will feature the latest design of its para-medals for the first time.,no,wid_0
39979364,BERTS2S,the london 2012 para-athletics world championships will feature the latest design of its para-medals for the first time.,no,wid_1
39979364,BERTS2S,the london 2012 para-athletics world championships will feature the latest design of its para-medals for the first time.,no,wid_2
40432797,BERTS2S,"a council has said it has lost almost £30, 000 to build a new cemetery in oxford.",yes,wid_0
40432797,BERTS2S,"a council has said it has lost almost £30, 000 to build a new cemetery in oxford.",yes,wid_1
40432797,BERTS2S,"a council has said it has lost almost £30, 000 to build a new cemetery in oxford.",yes,wid_2
32680434,BERTS2S,author jk rowling has said she has been blocked from posting abusive messages on twitter.,no,wid_0
32680434,BERTS2S,author jk rowling has said she has been blocked from posting abusive messages on twitter.,no,wid_1
32680434,BERTS2S,author jk rowling has said she has been blocked from posting abusive messages on twitter.,no,wid_2
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,yes,wid_0
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,no,wid_1
37618111,BERTS2S,the number of homicides recorded by police in scotland has fallen to its lowest level since 2009.,yes,wid_2
35980802,BERTS2S,"england will face india in the final of the champions trophy at the indian premier league, which starts on thursday, with captain virat kohli taking the",no,wid_0
35980802,BERTS2S,"england will face india in the final of the champions trophy at the indian premier league, which starts on thursday, with captain virat kohli taking the",no,wid_1
35980802,BERTS2S,"england will face india in the final of the champions trophy at the indian premier league, which starts on thursday, with captain virat kohli taking the",no,wid_2
37643322,BERTS2S,england manager arsene wenger has backed gareth southgate to be the next england manager.,no,wid_0
37643322,BERTS2S,england manager arsene wenger has backed gareth southgate to be the next england manager.,no,wid_1
37643322,BERTS2S,england manager arsene wenger has backed gareth southgate to be the next england manager.,no,wid_2
39379405,BERTS2S,"a oil company has said it is "" extremely concerned "" about the health of six workers who were exposed to radioactive radiation at a north sea platform.",no,wid_0
39379405,BERTS2S,"a oil company has said it is "" extremely concerned "" about the health of six workers who were exposed to radioactive radiation at a north sea platform.",no,wid_1
39379405,BERTS2S,"a oil company has said it is "" extremely concerned "" about the health of six workers who were exposed to radioactive radiation at a north sea platform.",no,wid_2
38795565,BERTS2S,championship side everton have signed everton midfielder ben browning on a season-long loan deal.,no,wid_0
38795565,BERTS2S,championship side everton have signed everton midfielder ben browning on a season-long loan deal.,no,wid_1
38795565,BERTS2S,championship side everton have signed everton midfielder ben browning on a season-long loan deal.,no,wid_2
37276607,BERTS2S,glamorgan set up an unlikely one-day cup victory over gloucestershire after being set a target of 182 to spare in a rain-affected match.,no,wid_0
37276607,BERTS2S,glamorgan set up an unlikely one-day cup victory over gloucestershire after being set a target of 182 to spare in a rain-affected match.,no,wid_1
37276607,BERTS2S,glamorgan set up an unlikely one-day cup victory over gloucestershire after being set a target of 182 to spare in a rain-affected match.,no,wid_2
40873665,BERTS2S,a man has been arrested on suspicion of raping a 15-year-old girl in birmingham.,no,wid_0
40873665,BERTS2S,a man has been arrested on suspicion of raping a 15-year-old girl in birmingham.,no,wid_1
40873665,BERTS2S,a man has been arrested on suspicion of raping a 15-year-old girl in birmingham.,no,wid_2
36415371,BERTS2S,golden state warriors beat golden state warriors 4-1 in the best-of-seven nba finals.,no,wid_0
36415371,BERTS2S,golden state warriors beat golden state warriors 4-1 in the best-of-seven nba finals.,no,wid_1
36415371,BERTS2S,golden state warriors beat golden state warriors 4-1 in the best-of-seven nba finals.,no,wid_2
36591829,BERTS2S,real madrid have signed real madrid striker alvaro morata on a four-year deal for an undisclosed fee.,no,wid_0
36591829,BERTS2S,real madrid have signed real madrid striker alvaro morata on a four-year deal for an undisclosed fee.,no,wid_1
36591829,BERTS2S,real madrid have signed real madrid striker alvaro morata on a four-year deal for an undisclosed fee.,no,wid_2
39037666,BERTS2S,"a number of jewish community centres in the us have been threatened by hoax bomb threats, the white house says.",no,wid_0
39037666,BERTS2S,"a number of jewish community centres in the us have been threatened by hoax bomb threats, the white house says.",no,wid_1
39037666,BERTS2S,"a number of jewish community centres in the us have been threatened by hoax bomb threats, the white house says.",no,wid_2
39697827,BERTS2S,world number one mark selby says he is not feeling the pressure of his career as he prepares for his first round match against china's china ',no,wid_0
39697827,BERTS2S,world number one mark selby says he is not feeling the pressure of his career as he prepares for his first round match against china's china ',no,wid_1
39697827,BERTS2S,world number one mark selby says he is not feeling the pressure of his career as he prepares for his first round match against china's china ',no,wid_2
33627800,BERTS2S,liverpool have signed striker christian benteke from aston villa for £12m.,no,wid_0
33627800,BERTS2S,liverpool have signed striker christian benteke from aston villa for £12m.,no,wid_1
33627800,BERTS2S,liverpool have signed striker christian benteke from aston villa for £12m.,no,wid_2
38056497,BERTS2S,police in germany have arrested a man in connection with the rape and murder of a german woman.,no,wid_0
38056497,BERTS2S,police in germany have arrested a man in connection with the rape and murder of a german woman.,no,wid_1
19330169,BERTS2S,"us tv star rosie o 'donnell has said she is "" lucky to be alive "" after having a heart attack in her new home.",no,wid_0
19330169,BERTS2S,"us tv star rosie o 'donnell has said she is "" lucky to be alive "" after having a heart attack in her new home.",no,wid_1
19330169,BERTS2S,"us tv star rosie o 'donnell has said she is "" lucky to be alive "" after having a heart attack in her new home.",no,wid_2
40917946,BERTS2S,scotland's laura muir is to miss the commonwealth games in london next month because she is missing the commonwealth games.,no,wid_0
40917946,BERTS2S,scotland's laura muir is to miss the commonwealth games in london next month because she is missing the commonwealth games.,no,wid_1
40917946,BERTS2S,scotland's laura muir is to miss the commonwealth games in london next month because she is missing the commonwealth games.,no,wid_2
35428466,BERTS2S,the new campus of scotland's largest education campus is to be renamed in honour of author william mcilvanney.,no,wid_0
35428466,BERTS2S,the new campus of scotland's largest education campus is to be renamed in honour of author william mcilvanney.,no,wid_1
35428466,BERTS2S,the new campus of scotland's largest education campus is to be renamed in honour of author william mcilvanney.,no,wid_2
39938984,BERTS2S,"shutter speed, ridden by frankie dettori, won the epsom derby for the second year running.",no,wid_0
39938984,BERTS2S,"shutter speed, ridden by frankie dettori, won the epsom derby for the second year running.",no,wid_1
39938984,BERTS2S,"shutter speed, ridden by frankie dettori, won the epsom derby for the second year running.",no,wid_2
29450120,BERTS2S,"norway is one of the world's best-known and most vulnerable countries, according to a new report.",no,wid_0
29450120,BERTS2S,"norway is one of the world's best-known and most vulnerable countries, according to a new report.",no,wid_1
29450120,BERTS2S,"norway is one of the world's best-known and most vulnerable countries, according to a new report.",no,wid_2
36047508,BERTS2S,three people have been rescued from a fishing boat in the river nith in dumfries and galloway.,no,wid_0
36047508,BERTS2S,three people have been rescued from a fishing boat in the river nith in dumfries and galloway.,no,wid_1
36047508,BERTS2S,three people have been rescued from a fishing boat in the river nith in dumfries and galloway.,no,wid_2
39724413,BERTS2S,newport county director of rugby steve foxall says he expects to sign a new contract at rodney parade.,no,wid_0
39724413,BERTS2S,newport county director of rugby steve foxall says he expects to sign a new contract at rodney parade.,no,wid_1
39724413,BERTS2S,newport county director of rugby steve foxall says he expects to sign a new contract at rodney parade.,no,wid_2
32584708,BERTS2S,italy's lower house of parliament has passed a controversial parliamentary reform of the country's electoral system.,yes,wid_0
32584708,BERTS2S,italy's lower house of parliament has passed a controversial parliamentary reform of the country's electoral system.,yes,wid_1
32584708,BERTS2S,italy's lower house of parliament has passed a controversial parliamentary reform of the country's electoral system.,yes,wid_2
40415756,BERTS2S,a new report has warned that global food trade is at risk because of climate change.,yes,wid_0
40415756,BERTS2S,a new report has warned that global food trade is at risk because of climate change.,yes,wid_1
40415756,BERTS2S,a new report has warned that global food trade is at risk because of climate change.,yes,wid_2
40883148,BERTS2S,conor mcgregor's fight against ufc champion conor mcgregor in las vegas on 9 august will be discussed by the nevada authorities.,no,wid_0
40883148,BERTS2S,conor mcgregor's fight against ufc champion conor mcgregor in las vegas on 9 august will be discussed by the nevada authorities.,no,wid_1
40883148,BERTS2S,conor mcgregor's fight against ufc champion conor mcgregor in las vegas on 9 august will be discussed by the nevada authorities.,no,wid_2
40630842,BERTS2S,"mps have called for more action after more than 2, 000 registered voter applications were reported to the electoral commission in the run-up to the eu referendum",yes,wid_0
40630842,BERTS2S,"mps have called for more action after more than 2, 000 registered voter applications were reported to the electoral commission in the run-up to the eu referendum",yes,wid_1
40630842,BERTS2S,"mps have called for more action after more than 2, 000 registered voter applications were reported to the electoral commission in the run-up to the eu referendum",no,wid_2
37728276,BERTS2S,an investigation is under way to find out why a seahorse was spotted on the dorset coast.,no,wid_0
37728276,BERTS2S,an investigation is under way to find out why a seahorse was spotted on the dorset coast.,no,wid_1
37728276,BERTS2S,an investigation is under way to find out why a seahorse was spotted on the dorset coast.,no,wid_2
37539801,BERTS2S,a unexploded world war two bomb found on a street in sheffield has been declared safe.,yes,wid_0
37539801,BERTS2S,a unexploded world war two bomb found on a street in sheffield has been declared safe.,yes,wid_1
37539801,BERTS2S,a unexploded world war two bomb found on a street in sheffield has been declared safe.,yes,wid_2
36729220,BERTS2S,"mental health patients in cornwall are to be sent to the county for treatment, a coroner has said.",no,wid_0
36729220,BERTS2S,"mental health patients in cornwall are to be sent to the county for treatment, a coroner has said.",no,wid_1
36729220,BERTS2S,"mental health patients in cornwall are to be sent to the county for treatment, a coroner has said.",no,wid_2
39856848,BERTS2S,britain's nicola adams will take part in her first fight of the season in manchester on saturday with a world title fight against virginia salazar.,no,wid_0
39856848,BERTS2S,britain's nicola adams will take part in her first fight of the season in manchester on saturday with a world title fight against virginia salazar.,no,wid_1
39856848,BERTS2S,britain's nicola adams will take part in her first fight of the season in manchester on saturday with a world title fight against virginia salazar.,no,wid_2
34934781,BERTS2S,scottish conservative leader alex salmond has been criticised for a painting he painted of the syrian air force in edinburgh.,no,wid_0
34934781,BERTS2S,scottish conservative leader alex salmond has been criticised for a painting he painted of the syrian air force in edinburgh.,no,wid_1
34934781,BERTS2S,scottish conservative leader alex salmond has been criticised for a painting he painted of the syrian air force in edinburgh.,no,wid_2
36129628,BERTS2S,the republic of ireland's two main political parties are to vote on whether to take control of water charges.,no,wid_0
36129628,BERTS2S,the republic of ireland's two main political parties are to vote on whether to take control of water charges.,no,wid_1
36129628,BERTS2S,the republic of ireland's two main political parties are to vote on whether to take control of water charges.,no,wid_2
33719438,BERTS2S,"two suspects were involved in the murder of ex-russian spy alexander litvinenko, an inquiry has heard.",yes,wid_0
33719438,BERTS2S,"two suspects were involved in the murder of ex-russian spy alexander litvinenko, an inquiry has heard.",no,wid_1
33719438,BERTS2S,"two suspects were involved in the murder of ex-russian spy alexander litvinenko, an inquiry has heard.",yes,wid_2
36207647,BERTS2S,a motorcyclist has died in a crash with a tractor in lincolnshire.,yes,wid_0
36207647,BERTS2S,a motorcyclist has died in a crash with a tractor in lincolnshire.,yes,wid_1
36207647,BERTS2S,a motorcyclist has died in a crash with a tractor in lincolnshire.,yes,wid_2
38727050,BERTS2S,derby county eased to a comfortable win over ipswich town to move three points clear at the top of the championship.,no,wid_0
38727050,BERTS2S,derby county eased to a comfortable win over ipswich town to move three points clear at the top of the championship.,no,wid_1
38727050,BERTS2S,derby county eased to a comfortable win over ipswich town to move three points clear at the top of the championship.,no,wid_2
34696683,BERTS2S,hundreds of people have attended the opening of a church that was damaged during last year's floods.,no,wid_0
34696683,BERTS2S,hundreds of people have attended the opening of a church that was damaged during last year's floods.,no,wid_1
34696683,BERTS2S,hundreds of people have attended the opening of a church that was damaged during last year's floods.,no,wid_2
34548835,BERTS2S,a man who threatened to kill police officers and threatened to shoot him in the back has admitted threats to kill him.,no,wid_0
34548835,BERTS2S,a man who threatened to kill police officers and threatened to shoot him in the back has admitted threats to kill him.,no,wid_1
34548835,BERTS2S,a man who threatened to kill police officers and threatened to shoot him in the back has admitted threats to kill him.,no,wid_2
38034979,BERTS2S,ipswich town ended qpr's seven-game winning run in the championship with a comfortable win at carrow road.,no,wid_0
38034979,BERTS2S,ipswich town ended qpr's seven-game winning run in the championship with a comfortable win at carrow road.,no,wid_1
38034979,BERTS2S,ipswich town ended qpr's seven-game winning run in the championship with a comfortable win at carrow road.,no,wid_2
10138849,BERTS2S,jk venter is one of the world's most successful scientists.,no,wid_0
10138849,BERTS2S,jk venter is one of the world's most successful scientists.,no,wid_1
10138849,BERTS2S,jk venter is one of the world's most successful scientists.,no,wid_2
29928061,BERTS2S,a former guantanamo bay detainee has been released from kuwait.,no,wid_0
29928061,BERTS2S,a former guantanamo bay detainee has been released from kuwait.,no,wid_1
29928061,BERTS2S,a former guantanamo bay detainee has been released from kuwait.,no,wid_2
34032798,BERTS2S,a nine-year-old boy has been taken to hospital after being hit by a car in north lanarkshire.,yes,wid_0
34032798,BERTS2S,a nine-year-old boy has been taken to hospital after being hit by a car in north lanarkshire.,yes,wid_1
34032798,BERTS2S,a nine-year-old boy has been taken to hospital after being hit by a car in north lanarkshire.,yes,wid_2
38765314,BERTS2S,st mirren have signed aberdeen striker cammy smith on loan until january.,no,wid_0
38765314,BERTS2S,st mirren have signed aberdeen striker cammy smith on loan until january.,no,wid_1
38765314,BERTS2S,st mirren have signed aberdeen striker cammy smith on loan until january.,no,wid_2
36053198,BERTS2S,police have named a 60-year-old woman who died after being struck by a car in perthshire.,no,wid_0
36053198,BERTS2S,police have named a 60-year-old woman who died after being struck by a car in perthshire.,no,wid_1
36053198,BERTS2S,police have named a 60-year-old woman who died after being struck by a car in perthshire.,no,wid_2
35341528,BERTS2S,microsoft has launched a version of minecraft-the world's most popular version of the minecraft computer game-in its uk and canada.,no,wid_0
35341528,BERTS2S,microsoft has launched a version of minecraft-the world's most popular version of the minecraft computer game-in its uk and canada.,no,wid_1
35341528,BERTS2S,microsoft has launched a version of minecraft-the world's most popular version of the minecraft computer game-in its uk and canada.,no,wid_2
34774405,BERTS2S,"athletics 'governing body, athletics federations in russia, needs a "" iceberg "" in the sport, says uk athletics chairman ed warner.",no,wid_0
34774405,BERTS2S,"athletics 'governing body, athletics federations in russia, needs a "" iceberg "" in the sport, says uk athletics chairman ed warner.",no,wid_1
34774405,BERTS2S,"athletics 'governing body, athletics federations in russia, needs a "" iceberg "" in the sport, says uk athletics chairman ed warner.",no,wid_2
33652722,BERTS2S,the number of people using plastic carrier bags in england has reached a record high.,no,wid_0
33652722,BERTS2S,the number of people using plastic carrier bags in england has reached a record high.,yes,wid_1
33652722,BERTS2S,the number of people using plastic carrier bags in england has reached a record high.,yes,wid_2
36880863,BERTS2S,a humpback whale has gone missing off the coast of australia.,no,wid_0
36880863,BERTS2S,a humpback whale has gone missing off the coast of australia.,no,wid_1
36880863,BERTS2S,a humpback whale has gone missing off the coast of australia.,no,wid_2
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,yes,wid_0
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,yes,wid_1
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,yes,wid_2
28783667,BERTS2S,"luis suarez's four-month ban for biting a spanish footballer has been extended to four months, the court of arbitration for sport has confirmed.",no,wid_0
28783667,BERTS2S,"luis suarez's four-month ban for biting a spanish footballer has been extended to four months, the court of arbitration for sport has confirmed.",no,wid_1
28783667,BERTS2S,"luis suarez's four-month ban for biting a spanish footballer has been extended to four months, the court of arbitration for sport has confirmed.",no,wid_2
37761972,BERTS2S,it's not long since a top tennis player became the first woman to lose her hair in a match.,no,wid_0
37761972,BERTS2S,it's not long since a top tennis player became the first woman to lose her hair in a match.,no,wid_1
37761972,BERTS2S,it's not long since a top tennis player became the first woman to lose her hair in a match.,no,wid_2
32539063,BERTS2S,the bbc has released a series of information about the uk's food market and how they have changed since the start of the decade.,no,wid_0
32539063,BERTS2S,the bbc has released a series of information about the uk's food market and how they have changed since the start of the decade.,no,wid_1
32539063,BERTS2S,the bbc has released a series of information about the uk's food market and how they have changed since the start of the decade.,no,wid_2
38713957,BERTS2S,one of the world's most rare opal mines is being put up for display in south australia.,yes,wid_0
38713957,BERTS2S,one of the world's most rare opal mines is being put up for display in south australia.,yes,wid_1
38713957,BERTS2S,one of the world's most rare opal mines is being put up for display in south australia.,yes,wid_2
37201780,BERTS2S,two people have been arrested on suspicion of murder after a man was found dead in woodland.,no,wid_0
37201780,BERTS2S,two people have been arrested on suspicion of murder after a man was found dead in woodland.,no,wid_1
37201780,BERTS2S,two people have been arrested on suspicion of murder after a man was found dead in woodland.,no,wid_2
38778996,BERTS2S,colchester's unbeaten run came to an end as they were held to a draw at blackpool.,yes,wid_0
38778996,BERTS2S,colchester's unbeaten run came to an end as they were held to a draw at blackpool.,yes,wid_1
38778996,BERTS2S,colchester's unbeaten run came to an end as they were held to a draw at blackpool.,yes,wid_2
35792564,BERTS2S,conor mcmanus scored a hat-trick as alloa came from behind to beat alloa athletic.,no,wid_0
35792564,BERTS2S,conor mcmanus scored a hat-trick as alloa came from behind to beat alloa athletic.,no,wid_1
35792564,BERTS2S,conor mcmanus scored a hat-trick as alloa came from behind to beat alloa athletic.,no,wid_2
33626398,BERTS2S,the us secretary of state has said he is in talks to close the controversial guantanamo bay detention centre.,no,wid_0
33626398,BERTS2S,the us secretary of state has said he is in talks to close the controversial guantanamo bay detention centre.,no,wid_1
33626398,BERTS2S,the us secretary of state has said he is in talks to close the controversial guantanamo bay detention centre.,no,wid_2
31920236,BERTS2S,oscar-winning oscar winner oscar winner oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning oscar winner oscar winner,no,wid_0
31920236,BERTS2S,oscar-winning oscar winner oscar winner oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning oscar winner oscar winner,no,wid_1
31920236,BERTS2S,oscar-winning oscar winner oscar winner oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning actress oscar-winning oscar winner oscar winner,no,wid_2
32628709,BERTS2S,more than 200 cigarettes have been found in a ditch in dorset.,no,wid_0
32628709,BERTS2S,more than 200 cigarettes have been found in a ditch in dorset.,no,wid_1
32628709,BERTS2S,more than 200 cigarettes have been found in a ditch in dorset.,no,wid_2
34775703,BERTS2S,a man has been taken to hospital following a one-vehicle crash on the a96 in aberdeenshire.,no,wid_0
34775703,BERTS2S,a man has been taken to hospital following a one-vehicle crash on the a96 in aberdeenshire.,no,wid_1
34775703,BERTS2S,a man has been taken to hospital following a one-vehicle crash on the a96 in aberdeenshire.,no,wid_2
36987557,BERTS2S,a human limb has been found in a park in bristol.,no,wid_0
36987557,BERTS2S,a human limb has been found in a park in bristol.,no,wid_1
36987557,BERTS2S,a human limb has been found in a park in bristol.,no,wid_2
35074007,BERTS2S,it's one of the most common stories of the festive season.,no,wid_0
35074007,BERTS2S,it's one of the most common stories of the festive season.,no,wid_1
35074007,BERTS2S,it's one of the most common stories of the festive season.,no,wid_2
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,yes,wid_0
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,yes,wid_1
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,yes,wid_2
34475490,BERTS2S,"the former captain of the county antrim football team has appeared in court charged with stealing more than £50, 000.",no,wid_0
34475490,BERTS2S,"the former captain of the county antrim football team has appeared in court charged with stealing more than £50, 000.",no,wid_1
34475490,BERTS2S,"the former captain of the county antrim football team has appeared in court charged with stealing more than £50, 000.",no,wid_2
36515816,BERTS2S,( close ): the pound fell against the dollar on monday as investors remained cautious ahead of the uk's eu referendum vote.,no,wid_0
36515816,BERTS2S,( close ): the pound fell against the dollar on monday as investors remained cautious ahead of the uk's eu referendum vote.,no,wid_1
36515816,BERTS2S,( close ): the pound fell against the dollar on monday as investors remained cautious ahead of the uk's eu referendum vote.,no,wid_2
36666227,BERTS2S,gateshead have re-signed defender michael sweeney on a one-year contract following his release by hartlepool.,no,wid_0
36666227,BERTS2S,gateshead have re-signed defender michael sweeney on a one-year contract following his release by hartlepool.,no,wid_1
36666227,BERTS2S,gateshead have re-signed defender michael sweeney on a one-year contract following his release by hartlepool.,no,wid_2
37863033,BERTS2S,"the number of lesbian, bisexual and transgender characters in tv and tv is at its highest level since records began, according to a new study.",yes,wid_0
37863033,BERTS2S,"the number of lesbian, bisexual and transgender characters in tv and tv is at its highest level since records began, according to a new study.",yes,wid_1
37863033,BERTS2S,"the number of lesbian, bisexual and transgender characters in tv and tv is at its highest level since records began, according to a new study.",yes,wid_2
35051818,BERTS2S,"a lollipop lady was hit on the head by a lollipop lady as he walked her home from school, a court has heard.",no,wid_0
35051818,BERTS2S,"a lollipop lady was hit on the head by a lollipop lady as he walked her home from school, a court has heard.",no,wid_1
35051818,BERTS2S,"a lollipop lady was hit on the head by a lollipop lady as he walked her home from school, a court has heard.",no,wid_2
36892561,BERTS2S,ukip leader ched evans has ruled herself out of the race to become the party's next leader.,yes,wid_0
36892561,BERTS2S,ukip leader ched evans has ruled herself out of the race to become the party's next leader.,no,wid_1
36892561,BERTS2S,ukip leader ched evans has ruled herself out of the race to become the party's next leader.,no,wid_2
24553569,BERTS2S,"apprenticeships in england are failing to meet the country's high level of apprenticeships, a report says.",no,wid_0
24553569,BERTS2S,"apprenticeships in england are failing to meet the country's high level of apprenticeships, a report says.",no,wid_1
24553569,BERTS2S,"apprenticeships in england are failing to meet the country's high level of apprenticeships, a report says.",no,wid_2
32143053,BERTS2S,a 19-year-old man has been arrested in connection with the fatal shooting of an 18-year-old student in the southern indian state of,no,wid_0
32143053,BERTS2S,a 19-year-old man has been arrested in connection with the fatal shooting of an 18-year-old student in the southern indian state of,yes,wid_1
